====== Ar (10) into Carbon Slab                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 25 keV
============= TARGET MATERIAL ======================================
Layer 1 : Carbon Slab
Layer Width = 15000.E-01 A ;
  Layer # 1- Density = 9.526E22 atoms/cm3 = 1.9 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150100.E-04  2707.46E-02  6990.66E-03
300100.E-04  2632.92E-02  1079.39E-02
450100.E-04  2556.14E-02  1397.25E-02
600100.E-04  2500.04E-02  1638.05E-02
750100.E-04  2396.83E-02  1862.85E-02
900100.E-04  2297.72E-02  2027.35E-02
105010.E-03  2231.70E-02  2194.30E-02
120010.E-03  2125.59E-02  2340.12E-02
135010.E-03  2021.27E-02  2470.66E-02
150010.E-03  1915.61E-02  2547.55E-02
165010.E-03  1791.75E-02  2615.58E-02
180010.E-03  1660.38E-02  2606.85E-02
195010.E-03  1534.08E-02  2623.43E-02
210010.E-03  1392.26E-02  2586.31E-02
225010.E-03  1257.89E-02  2510.44E-02
240010.E-03  1124.11E-02  2415.91E-02
255010.E-03  9848.04E-03  2301.18E-02
270010.E-03  8484.72E-03  2157.07E-02
285010.E-03  7244.15E-03  1992.09E-02
300010.E-03  6036.90E-03  1798.16E-02
315010.E-03  4975.88E-03  1608.52E-02
330010.E-03  3993.25E-03  1424.65E-02
345010.E-03  3174.64E-03  1230.51E-02
360010.E-03  2439.51E-03  1066.47E-02
375010.E-03  1841.47E-03  9107.62E-03
390010.E-03  1343.95E-03  7513.30E-03
405010.E-03  9373.89E-04  6182.97E-03
420010.E-03  6760.55E-04  4953.22E-03
435010.E-03  4643.26E-04  3986.86E-03
450010.E-03  2994.85E-04  3155.40E-03
465010.E-03  1950.43E-04  2448.63E-03
480010.E-03  1239.40E-04  1885.12E-03
495010.E-03  7448.76E-05  1416.97E-03
510010.E-03  4275.30E-05  1083.85E-03
525010.E-03  2557.55E-05  8819.99E-04
540010.E-03  1359.71E-05  7038.69E-04
555010.E-03  8030.76E-06  5431.17E-04
570010.E-03  5295.03E-06  4373.12E-04
585010.E-03  2346.95E-06  3438.05E-04
600010.E-03  1788.75E-06  2640.63E-04
615010.E-03  2457.37E-07  1979.10E-04
630010.E-03  0000.00E+00  1722.18E-04
645010.E-03  0000.00E+00  1328.81E-04
660010.E-03  0000.00E+00  9423.98E-05
675010.E-03  0000.00E+00  7654.65E-05
690010.E-03  0000.00E+00  6502.92E-05
705010.E-03  0000.00E+00  4717.25E-05
720010.E-03  0000.00E+00  3233.33E-05
735010.E-03  0000.00E+00  2447.50E-05
750010.E-03  0000.00E+00  1772.28E-05
765010.E-03  0000.00E+00  1104.39E-05
780010.E-03  0000.00E+00  1185.47E-05
795010.E-03  0000.00E+00  9425.27E-06
810010.E-03  0000.00E+00  6462.89E-06
825010.E-03  0000.00E+00  3565.43E-06
840010.E-03  0000.00E+00  2455.00E-06
855010.E-03  0000.00E+00  2043.37E-06
870010.E-03  0000.00E+00  3552.81E-06
885010.E-03  0000.00E+00  1701.26E-06
900010.E-03  0000.00E+00  6161.63E-07
915010.E-03  0000.00E+00  5822.56E-07
930010.E-03  0000.00E+00  3555.33E-08
945010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
975010.E-03  0000.00E+00  0000.00E+00
990010.E-03  0000.00E+00  0000.00E+00
100501.E-02  0000.00E+00  0000.00E+00
102001.E-02  0000.00E+00  0000.00E+00
103501.E-02  0000.00E+00  0000.00E+00
105001.E-02  0000.00E+00  0000.00E+00
106501.E-02  0000.00E+00  0000.00E+00
108001.E-02  0000.00E+00  0000.00E+00
109501.E-02  0000.00E+00  0000.00E+00
111001.E-02  0000.00E+00  0000.00E+00
112501.E-02  0000.00E+00  0000.00E+00
114001.E-02  0000.00E+00  0000.00E+00
115501.E-02  0000.00E+00  0000.00E+00
117001.E-02  0000.00E+00  0000.00E+00
118501.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
121501.E-02  0000.00E+00  0000.00E+00
123001.E-02  0000.00E+00  0000.00E+00
124501.E-02  0000.00E+00  0000.00E+00
126001.E-02  0000.00E+00  0000.00E+00
127501.E-02  0000.00E+00  0000.00E+00
129001.E-02  0000.00E+00  0000.00E+00
130501.E-02  0000.00E+00  0000.00E+00
132001.E-02  0000.00E+00  0000.00E+00
133501.E-02  0000.00E+00  0000.00E+00
135001.E-02  0000.00E+00  0000.00E+00
136501.E-02  0000.00E+00  0000.00E+00
138001.E-02  0000.00E+00  0000.00E+00
139501.E-02  0000.00E+00  0000.00E+00
141001.E-02  0000.00E+00  0000.00E+00
142501.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145501.E-02  0000.00E+00  0000.00E+00
147001.E-02  0000.00E+00  0000.00E+00
148501.E-02  0000.00E+00  0000.00E+00
150001.E-02  0000.00E+00  0000.00E+00
