====== Ar (10) into Carbon Slab                 =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 25 keV
============= TARGET MATERIAL ======================================
Layer  1 : Carbon Slab
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 9.526E22 atoms/cm3 = 1.9 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
150100.E-04  122117.E-05  765696.E-05
300100.E-04  124024.E-05  156910.E-04
450100.E-04  126708.E-05  193332.E-04
600100.E-04  132114.E-05  218835.E-04
750100.E-04  136250.E-05  241992.E-04
900100.E-04  143100.E-05  263072.E-04
105010.E-03  147544.E-05  280745.E-04
120010.E-03  156675.E-05  303722.E-04
135010.E-03  162379.E-05  322354.E-04
150010.E-03  171000.E-05  335553.E-04
165010.E-03  177380.E-05  347979.E-04
180010.E-03  182933.E-05  349636.E-04
195010.E-03  184251.E-05  355324.E-04
210010.E-03  185750.E-05  357002.E-04
225010.E-03  182057.E-05  351336.E-04
240010.E-03  181567.E-05  341147.E-04
255010.E-03  176677.E-05  329415.E-04
270010.E-03  166108.E-05  315849.E-04
285010.E-03  153877.E-05  292521.E-04
300010.E-03  139178.E-05  265465.E-04
315010.E-03  124998.E-05  240281.E-04
330010.E-03  110044.E-05  212016.E-04
345010.E-03  951968.E-06  183737.E-04
360010.E-03  801345.E-06  159262.E-04
375010.E-03  647670.E-06  137098.E-04
390010.E-03  514742.E-06  112721.E-04
405010.E-03  401872.E-06  929147.E-05
420010.E-03  309468.E-06  741438.E-05
435010.E-03  219336.E-06  586574.E-05
450010.E-03  162035.E-06  460826.E-05
465010.E-03  115745.E-06  354579.E-05
480010.E-03  726216.E-07  270043.E-05
495010.E-03  481840.E-07  200216.E-05
510010.E-03  312282.E-07  147275.E-05
525010.E-03  187694.E-07  116924.E-05
540010.E-03  129583.E-07  935144.E-06
555010.E-03  606435.E-08  757844.E-06
570010.E-03  142340.E-08  552370.E-06
585010.E-03  183255.E-08  445017.E-06
600010.E-03  136250.E-08  340810.E-06
615010.E-03  687021.E-09  255201.E-06
630010.E-03  000000.E+00  217518.E-06
645010.E-03  000000.E+00  168244.E-06
660010.E-03  000000.E+00  128923.E-06
675010.E-03  000000.E+00  988040.E-07
690010.E-03  000000.E+00  875977.E-07
705010.E-03  000000.E+00  610034.E-07
720010.E-03  000000.E+00  461571.E-07
735010.E-03  000000.E+00  296744.E-07
750010.E-03  000000.E+00  256275.E-07
765010.E-03  000000.E+00  172828.E-07
780010.E-03  000000.E+00  111809.E-07
795010.E-03  000000.E+00  122332.E-07
810010.E-03  000000.E+00  967579.E-08
825010.E-03  000000.E+00  609998.E-08
840010.E-03  000000.E+00  278543.E-08
855010.E-03  000000.E+00  216865.E-08
870010.E-03  000000.E+00  509903.E-08
885010.E-03  000000.E+00  463810.E-08
900010.E-03  000000.E+00  118864.E-08
915010.E-03  000000.E+00  123389.E-08
930010.E-03  000000.E+00  144099.E-09
945010.E-03  000000.E+00  000000.E+00
960010.E-03  000000.E+00  000000.E+00
975010.E-03  000000.E+00  000000.E+00
990010.E-03  000000.E+00  000000.E+00
100501.E-02  000000.E+00  000000.E+00
102001.E-02  000000.E+00  000000.E+00
103501.E-02  000000.E+00  000000.E+00
105001.E-02  000000.E+00  000000.E+00
106501.E-02  000000.E+00  000000.E+00
108001.E-02  000000.E+00  000000.E+00
109501.E-02  000000.E+00  000000.E+00
111001.E-02  000000.E+00  000000.E+00
112501.E-02  000000.E+00  000000.E+00
114001.E-02  000000.E+00  000000.E+00
115501.E-02  000000.E+00  000000.E+00
117001.E-02  000000.E+00  000000.E+00
118501.E-02  000000.E+00  000000.E+00
120001.E-02  000000.E+00  000000.E+00
121501.E-02  000000.E+00  000000.E+00
123001.E-02  000000.E+00  000000.E+00
124501.E-02  000000.E+00  000000.E+00
126001.E-02  000000.E+00  000000.E+00
127501.E-02  000000.E+00  000000.E+00
129001.E-02  000000.E+00  000000.E+00
130501.E-02  000000.E+00  000000.E+00
132001.E-02  000000.E+00  000000.E+00
133501.E-02  000000.E+00  000000.E+00
135001.E-02  000000.E+00  000000.E+00
136501.E-02  000000.E+00  000000.E+00
138001.E-02  000000.E+00  000000.E+00
139501.E-02  000000.E+00  000000.E+00
141001.E-02  000000.E+00  000000.E+00
142501.E-02  000000.E+00  000000.E+00
144001.E-02  000000.E+00  000000.E+00
145501.E-02  000000.E+00  000000.E+00
147001.E-02  000000.E+00  000000.E+00
148501.E-02  000000.E+00  000000.E+00
150001.E-02  000000.E+00  000000.E+00
